id,iso,lang,text,openai/gpt4,ISO code,ISO language name,native_speakers,writing_system,language_family,region,continent,ISO639P3code,Macroarea,Family,Subfamily,Genus,script_simplified,is_indo_european,xlm-roberta-base,bert-base-uncased,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,bigscience/bloom,StabilityAI/stablelm-base-alpha-7b,google/flan-t5-base,facebook/mbart-large-50,facebook/nllb-200-distilled-600M,EleutherAI/gpt-neox-20b,Xenova/gpt-4o,Xenova/claude-tokenizer,CohereForAI/aya-101,meta-llama/Meta-Llama-3-70B,mistralai/Mixtral-8x22B-v0.1,google/gemma-7b,simbolo-ai/multilingual-partial-syllable-tokenizer,Cohere/multilingual-22-12,Cohere/Cohere-embed-multilingual-v3.0
113,my-MM,Burmese,ဒီ အပုဒ် ကို ပြန်ကျော့ပါ,45,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,10.0,6.0,10.0,39.0,38.0,9.0,10.0,11.0,38.0,12,25,10,45,37,19,36,11,8
115,my-MM,Burmese,အသံ တိုးပါ,19,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,7.0,4.0,7.0,18.0,16.0,5.0,7.0,5.0,16.0,5,10,5,19,15,9,15,7,3
127,my-MM,Burmese,ဒီနေ့ ဘာနေ့လဲ,25,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,7.0,4.0,7.0,24.0,24.0,5.0,7.0,6.0,24.0,7,16,5,25,28,13,19,6,5
138,my-MM,Burmese,အဲဒါ ဘယ် သီချင်း လဲ,35,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,9.0,6.0,9.0,29.0,32.0,9.0,9.0,7.0,32.0,11,24,8,35,40,16,30,6,5
147,my-MM,Burmese,ဂျက်ဇ် နားထောင်ရတာကြိုက်တယ်,53,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,12.0,4.0,12.0,44.0,38.0,5.0,12.0,9.0,38.0,16,28,11,53,38,20,40,11,9
148,my-MM,Burmese,olly ငါ ဂျက်စ် နားထောင်ရတာကြိုက်တယ်,60,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,14.0,7.0,14.0,49.0,45.0,10.0,14.0,12.0,45.0,20,32,13,60,43,25,52,13,11
167,my-MM,Burmese,ဟေး ဟေး,13,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,6.0,4.0,6.0,12.0,11.0,5.0,6.0,6.0,11.0,4,8,4,13,12,7,10,6,4
173,my-MM,Burmese,မနက်ဖြန် မနက်ခြောက်နာရီ မှာ နှိုးစက်ကိုထားပါ,85,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,17.0,6.0,17.0,73.0,67.0,9.0,17.0,18.0,67.0,22,44,17,85,59,32,66,17,14
188,my-MM,Burmese,အသံ တင်,13,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,6.0,4.0,6.0,11.0,11.0,5.0,6.0,4.0,11.0,4,7,4,13,10,6,12,5,2
217,my-MM,Burmese,အပြင်မှာ မိုးရွာနေ လား,42,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,10.0,5.0,10.0,38.0,35.0,7.0,10.0,11.0,35.0,11,19,8,42,29,18,32,9,6
229,my-MM,Burmese,ရန်ကုန် မှာ ဘယ်အချိန်လဲ,44,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,8.0,5.0,8.0,35.0,37.0,7.0,8.0,8.0,37.0,13,25,7,44,38,18,36,7,5
230,my-MM,Burmese,ပဲခူး ဘယ်နှနာရီလဲ,33,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,8.0,4.0,8.0,30.0,30.0,5.0,8.0,11.0,30.0,12,21,6,33,36,16,26,10,5
232,my-MM,Burmese,မနက် ခြောက် နာရီ နှိုးစက် ထားပါ,58,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,13.0,7.0,13.0,51.0,46.0,11.0,13.0,12.0,46.0,16,30,12,58,42,25,47,12,8
237,my-MM,Burmese,ငါ မနက် အိပ်ရာထဖို့ နှိုးစက် သတ်မှတ်ထားခဲ့လား,86,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,19.0,7.0,19.0,74.0,69.0,11.0,19.0,17.0,69.0,24,46,17,86,68,35,68,17,14
242,my-MM,Burmese,မြန်မာ မှာ ဘာတွေဖြစ်နေလဲ,46,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,8.0,5.0,8.0,40.0,40.0,7.0,8.0,8.0,40.0,13,26,7,46,37,21,36,8,6
251,my-MM,Burmese,မင်းမင်း death metal ကိုအခုဖွင့်ပါ,45,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,12.0,6.0,12.0,38.0,37.0,7.0,12.0,12.0,37.0,14,22,12,45,35,17,49,13,9
271,my-MM,Burmese,မြန်မာ မှာအခုဘယ်အချိန်လဲ,47,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,9.0,4.0,9.0,40.0,41.0,5.0,9.0,9.0,41.0,15,27,8,47,41,20,37,10,7
295,my-MM,Burmese,ငါ့ကို ဒီနေ့ရဲ့ သတင်းစာ ခေါင်းစီးတွေကိုပြောပြပါ,91,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,16.0,6.0,16.0,84.0,78.0,9.0,16.0,13.0,78.0,23,48,15,91,72,38,67,12,13
298,my-MM,Burmese,​အောင်လ ဖွင့်ပေးပါ,34,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,9.0,4.0,9.0,29.0,30.0,5.0,9.0,8.0,30.0,11,18,8,34,28,15,27,8,5
311,my-MM,Burmese,ဒီနှစ် ဘယ်နေ့ကအမှတ်တရနေ့လဲ,51,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,12.0,4.0,12.0,45.0,45.0,5.0,12.0,13.0,45.0,15,30,10,51,47,23,41,11,9
312,my-MM,Burmese,ဒီမှာ အရမ်းမှောင်တယ်,39,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,9.0,4.0,9.0,33.0,32.0,5.0,9.0,7.0,32.0,9,20,8,39,31,15,30,7,7
318,my-MM,Burmese,မနက်ဖြန် မိုးရွာ မလား,40,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,10.0,5.0,10.0,35.0,32.0,7.0,10.0,11.0,32.0,12,20,8,40,28,15,32,10,7
331,my-MM,Burmese,ပိုပြီးတိုးတိုး,30,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,6.0,3.0,6.0,30.0,22.0,3.0,6.0,5.0,22.0,6,13,4,30,18,12,19,5,4
345,my-MM,Burmese,မနက်ဖြန် အပြင်မှာ အပူချိန် ဘယ်လောက်လဲ,71,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,16.0,6.0,16.0,58.0,61.0,9.0,16.0,14.0,61.0,21,37,14,71,58,28,58,12,12
346,my-MM,Burmese,မနက်ဖြန်ရဲ့ မိုးလေဝသ ခန့်မှန်းချက်တွေ ကဘယ်လိုလဲ,91,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,20.0,6.0,20.0,76.0,77.0,9.0,20.0,19.0,77.0,26,49,20,91,80,38,72,21,17
353,my-MM,Burmese,နှစ်ဆယ့်နှစ်ရက်​နေ့ မတ် ကဘာနေ့လဲ,61,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,15.0,5.0,15.0,51.0,52.0,9.0,15.0,14.0,52.0,18,35,14,61,53,26,50,13,11
365,my-MM,Burmese,ဒီနေ့က တနင်္လာနေ့ လား,40,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,12.0,5.0,12.0,36.0,34.0,7.0,12.0,12.0,34.0,11,22,10,40,36,19,32,11,9
368,my-MM,Burmese,ရန်ကုန်မြို့ မှာ မိုးလေဝသအခြေအနေ ဘယ်လိုလဲ,79,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,12.0,6.0,12.0,70.0,69.0,9.0,12.0,15.0,69.0,22,41,13,79,62,33,62,14,10
375,my-MM,Burmese,အခု ရန်ကုန် မှာ နေသာ နေလား,48,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,9.0,7.0,9.0,41.0,39.0,11.0,9.0,10.0,39.0,13,25,9,48,33,21,41,9,7
387,my-MM,Burmese,ဘရက်ဇစ် က သတင်းများများသိနိုင်သလောက် သိပါရစေ,85,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,18.0,6.0,18.0,74.0,69.0,9.0,18.0,18.0,69.0,22,42,16,85,57,34,68,16,16
388,my-MM,Burmese,စမတ်ပလပ်ပေါက် ကို ပိတ်ပါ,46,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,12.0,5.0,12.0,37.0,37.0,7.0,12.0,11.0,37.0,13,25,11,46,31,19,38,11,10
392,my-MM,Burmese,ငါ့ရဲ့ အကြိုက် သီချင်း ဖွင့်ပေးပါ,63,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,12.0,6.0,12.0,55.0,55.0,9.0,12.0,11.0,55.0,19,34,12,63,56,28,48,10,9
406,my-MM,Burmese,ကျေးဇူးပြု၍ ငါ ပေါ့ပ် ဂီတ ကိုနားထောင်ချင်တယ်,85,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,18.0,8.0,18.0,75.0,70.0,11.0,18.0,15.0,70.0,27,48,20,85,71,37,65,14,13
415,my-MM,Burmese,ငါ့ရဲ့ အခန်းက မီးသီးများ ကို ပြောင်းလိုက်တယ် ဒါ့ကြောင့် ငါ ကောင်းကောင်း အိပ်ပျော် တယ်,161,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,27.0,12.0,27.0,136.0,128.0,21.0,27.0,23.0,128.0,42,79,28,161,120,63,123,22,21
431,my-MM,Burmese,သောကြာနေ့ ရာသီဥတု ဘယ်လိုလဲ,50,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,12.0,5.0,12.0,46.0,42.0,7.0,12.0,11.0,42.0,16,28,12,50,43,22,39,11,8
434,my-MM,Burmese,ဒီနေ့ ဘာနေ့လဲ,25,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,7.0,4.0,7.0,24.0,24.0,5.0,7.0,6.0,24.0,7,16,5,25,28,13,19,6,5
439,my-MM,Burmese,ဒီနေ့ အနွေးထည် ဝတ်ဖို့လိုလား,54,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,13.0,5.0,13.0,49.0,46.0,7.0,13.0,10.0,46.0,15,28,12,54,51,21,41,12,10
444,my-MM,Burmese,မွှေနှောက်ခြင်း ကို ပိတ်ပါ,50,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,13.0,5.0,13.0,42.0,41.0,7.0,13.0,11.0,41.0,11,24,13,50,37,19,37,13,11
465,my-MM,Burmese,ဘယ်နေ့လဲ,16,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,6.0,3.0,6.0,14.0,15.0,3.0,6.0,5.0,15.0,5,11,4,16,19,7,12,5,3
476,my-MM,Burmese,မင်း မလုပ်နိုင်တဲ့ အရာတွေက ဘာတွေလဲ,65,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,14.0,6.0,14.0,56.0,53.0,9.0,14.0,10.0,53.0,15,33,12,65,51,28,52,11,10
480,my-MM,Burmese,ဘယ်နှစ်နာရီထိုးပြီလဲ,40,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,9.0,3.0,9.0,36.0,35.0,3.0,9.0,9.0,35.0,13,25,7,40,37,17,29,8,6
490,my-MM,Burmese,အပြင်မှာ ပူ လား,28,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,9.0,5.0,9.0,24.0,24.0,7.0,9.0,8.0,24.0,8,13,7,28,22,13,23,7,4
510,my-MM,Burmese,ငါ နှိုးစက် ကို ပြုလုပ်နိုင်သလား,61,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,12.0,6.0,12.0,53.0,48.0,9.0,12.0,11.0,48.0,14,29,11,61,41,25,47,11,8
511,my-MM,Burmese,တိကျသောပုံသေနည်း အားဖြင့်,49,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,11.0,4.0,11.0,44.0,40.0,5.0,11.0,10.0,40.0,14,22,9,49,36,20,36,13,8
516,my-MM,Burmese,နောက်ထပ်တစ်နာရီ အသံပိတ်ပါ,49,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,10.0,4.0,10.0,40.0,40.0,5.0,10.0,10.0,40.0,14,26,8,49,34,20,39,10,7
517,my-MM,Burmese,ငါ့ရဲ့ အကြိုက်ဆုံး သီချင်း ဖွင့်ပေးပါ,71,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,13.0,6.0,13.0,62.0,61.0,9.0,13.0,13.0,61.0,21,39,14,71,64,31,53,12,10
523,my-MM,Burmese,ဒါအရမ်း အန္တရာယ်များတဲ့ ကိစ္စတစ်ခု ဖြစ်တယ်,81,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,17.0,6.0,17.0,69.0,66.0,9.0,17.0,14.0,66.0,21,46,15,81,65,35,66,11,13
532,my-MM,Burmese,ကျေးဇူးပြုပြီး အပြည်ပြည်ဆိုင်ရာ သတင်း တချိူ့ ငါ့ကိုပြောပြပါ,114,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,21.0,7.0,21.0,102.0,97.0,11.0,21.0,18.0,97.0,33,59,22,114,88,49,85,18,18
534,my-MM,Burmese,မနက်ဆယ်နာရီ အတွက် အိပ်ယာထနှိုးဆော်သံ တစ်ခု လုပ်ထားပါ,100,my,Burmese,33000000,Mon–Burmese (Burmese alphabet),Sino-Tibetan,Southeast Asia,Asia,mya,Eurasia,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,unique script,False,21.0,7.0,21.0,83.0,80.0,11.0,21.0,19.0,80.0,29,55,20,100,79,43,80,20,17
